1051,Lelystad,Manchester,27/03/2018 08:20,27/03/2018 09:50,122.52,7
1052,Amsterdam,Liverpool,27/03/2018 09:55,27/03/2018 10:55,142.32,8
1053,Lelystad,Alicante,27/03/2018 11:35,27/03/2018 12:30,129.32,11
1054,Maastricht,Budapest,27/03/2018 12:50,27/03/2018 14:00,155.32,3
1055,Rotterdam,Mallorca,27/03/2018 14:05,27/03/2018 12:55,172.32,2
1056,Rotterdam,Dusseldorf,27/03/2018 15:55,27/03/2018 16:35,172.32,2
1057,Rotterdam,Bucharest,27/03/2018 17:40,27/03/2018 19:00,116.9,1
1058,Groningen,Manchester,27/03/2018 19:20,27/03/2018 21:10,155.32,3
1059,Rotterdam,Dusseldorf,27/03/2018 20:15,27/03/2018 22:05,189.2,5
1060,Rotterdam,Budapest,27/03/2018 21:40,27/03/2018 22:45,172.32,12
1061,Maastricht,Budapest,27/03/2018 22:50,28/03/2018 01:05,122.52,7
1062,Maastricht,Liverpool,27/03/2018 23:05,28/03/2018 00:50,142.32,8
1063,Maastricht,Manchester,27/03/2018 23:35,28/03/2018 01:15,129.32,11
1064,Lelystad,Brussels,28/03/2018 06:00,28/03/2018 06:55,155.32,3
1065,Amsterdam,Frankfurt,28/03/2018 07:15,28/03/2018 09:00,172.32,7
1066,Amsterdam,Frankfurt,28/03/2018 08:30,28/03/2018 10:05,140.32,13
1067,Lelystad,Eindhoven,28/03/2018 10:10,28/03/2018 11:05,37.32,2
1068,Amsterdam,Groningen,28/03/2018 12:40,28/03/2018 14:00,50.1,7
1069,Amsterdam,Liverpool,28/03/2018 15:30,28/03/2018 17:15,136.9,3
1070,Maastricht,Dusseldorf,28/03/2018 16:45,28/03/2018 17:35,172.32,1
1071,Eindhoven,Frankfurt,28/03/2018 17:05,28/03/2018 18:00,40.52,7
1072,Amsterdam,Edinburgh,28/03/2018 20:30,28/03/2018 21:45,142.32,8
1073,Amsterdam,Stockholm,28/03/2018 21:15,29/03/2018 00:05,122.52,11
1074,Maastricht,Mallorca,28/03/2018 21:45,29/03/2018 01:10,155.32,3
1075,Amsterdam,Salzburg,28/03/2018 22:20,29/03/2018 00:45,172.32,2
1076,Rotterdam,Manchester,29/03/2018 07:20,29/03/2018 08:15,172.32,2
1077,Lelystad,Alicante,29/03/2018 09:35,29/03/2018 10:10,189.2,19
1078,Rotterdam,Stockholm,29/03/2018 13:10,29/03/2018 14:55,155.32,12
1079,Rotterdam,Budapest,29/03/2018 14:15,29/03/2018 15:30,110.32,15
1080,Groningen,Liverpool,29/03/2018 15:15,29/03/2018 17:00,60.9,7
1081,Groningen,Helsinki,29/03/2018 17:30,29/03/2018 20:00,122.52,7
1082,Amsterdam,Mallorca,29/03/2018 19:35,29/03/2018 21:35,142.32,8
1083,Eindhoven,Edinburgh,29/03/2018 22:35,30/03/2018 00:20,129.32,11
1084,Eindhoven,Frankfurt,30/03/2018 09:20,30/03/2018 11:10,122.52,3
1085,Maastricht,Budapest,30/03/2018 11:40,30/03/2018 13:05,172.32,2
1086,Amsterdam,Barcelona,30/03/2018 14:35,30/03/2018 16:45,172.32,2
1087,Groningen,Stockholm,30/03/2018 17:00,30/03/2018 18:30,98.7,5
1088,Groningen,Lelystad,30/03/2018 19:10,30/03/2018 19:40,116.9,12
1089,Rotterdam,Helsinki,30/03/2018 21:50,31/03/2018 00:15,172.32,21
1090,Amsterdam,Dusseldorf,30/03/2018 22:55,31/03/2018 20:55,189.2,8
1091,Amsterdam,Liverpool,31/03/2018 05:10,31/03/2018 06:55,122.52,7
1092,Maastricht,Edinburgh,31/03/2018 07:40,31/03/2018 09:05,142.32,8
1093,Maastricht,Budapest,31/03/2018 08:10,31/03/2018 10:15,129.32,11
1094,Lelystad,Alicante,31/03/2018 10:40,31/03/2018 11:40,155.32,3
1095,Rotterdam,Manchester,31/03/2018 12:15,31/03/2018 14:15,172.32,2
1096,Rotterdam,Mallorca,31/03/2018 15:45,31/03/2018 17:05,172.32,2
1097,Rotterdam,Budapest,31/03/2018 17:20,31/03/2018 19:00,155.32,5
1098,Maastricht,Edinburgh,31/03/2018 22:55,01/04/2018 00:45,116.9,6
1099,Eindhoven,Budapest,01/04/2018 05:10,01/04/2018 07:00,98.7,7
1100,Groningen,Dusseldorf,01/04/2018 06:45,01/04/2018 07:55,172.32,30
1101,Eindhoven,Stockholm,01/04/2018 09:25,01/04/2018 10:45,122.52,70
1102,Eindhoven,Helsinki,01/04/2018 10:55,01/04/2018 12:35,142.32,80
1103,Rotterdam,Mallorca,01/04/2018 14:05,01/04/2018 15:50,129.32,110
1104,Amsterdam,Manchester,01/04/2018 15:20,01/04/2018 17:30,155.32,300
1105,Maastricht,Mallorca,01/04/2018 21:45,02/04/2018 00:05,172.32,200
1106,Eindhoven,Stockholm,01/04/2018 22:15,02/04/2018 00:30,172.32,200
1107,Lelystad,Alicante,02/04/2018 06:10,02/04/2018 08:55,189.2,100
1108,Amsterdam,Manchester,02/04/2018 08:40,02/04/2018 09:45,116.9,90
1109,Rotterdam,Dusseldorf,02/04/2018 11:15,02/04/2018 12:40,90.78,20
1110,Groningen,Dusseldorf,02/04/2018 13:15,02/04/2018 14:10,172.32,40
1111,Stockholm,Frankfurt,23/03/2018 16:15,23/03/2018 17:25,190.55,45
1112,Rotterdam,Berlin,23/03/2018 13:15,23/03/2018 17:25,190.55,73
1113,Berlin,Frankfurt,23/03/2018 18:25,23/03/2018 19:25,190.55,53
1114,Manchester,Frankfurt,23/03/2018 20:00,23/03/2018 22:15,110.55,56
1115,Stockholm,Frankfurt,23/03/2018 18:00,23/03/2018 20:15,10.1,66
1116,Stockholm,Manchester,23/03/2018 16:15,23/03/2018 18:15,150.55,26
1117,Amsterdam,Edinburgh,01/05/2018 07:15,01/05/2018 08:15,129.32,22
1118,Edinburgh,Moscow,01/05/2018 10:15,01/05/2018 13:15,129.32,10
